filename,text
crops\crop_000000.png,TAN WOON YANN
crops\crop_000001.png,BOOK TA .K(TAMAN DAYA) SDN BND
crops\crop_000002.png,789417-W
crops\crop_000003.png,JOHOR.
crops\crop_000004.png,DOCUMENT NO : TD01167104
crops\crop_000005.png,DATE:
crops\crop_000006.png,25/12/2018 8:13:39 PM
crops\crop_000007.png,CASHIER:
crops\crop_000008.png,MANIS
crops\crop_000009.png,MEMBER:
crops\crop_000010.png,CASH BILL
crops\crop_000011.png,CODE/DESC
crops\crop_000012.png,PRICE
crops\crop_000013.png,DISC
crops\crop_000014.png,AMOUNT
crops\crop_000015.png,QTY
crops\crop_000016.png,RM
crops\crop_000017.png,RM
crops\crop_000018.png,9556939040116
crops\crop_000019.png,KF MODELLING CLAY KIDDY FISH
crops\crop_000020.png,1 PC
crops\crop_000021.png,*
crops\crop_000022.png,9.000
crops\crop_000023.png,0.00
crops\crop_000024.png,9.00
crops\crop_000025.png,TOTAL:
crops\crop_000026.png,ROUR DING ADJUSTMENT:
crops\crop_000027.png,0.00
crops\crop_000028.png,ROUND D TOTAL (RM):
crops\crop_000029.png,9.00
crops\crop_000030.png,CASH
crops\crop_000031.png,10.00
crops\crop_000032.png,CHANGE
crops\crop_000033.png,1.00
crops\crop_000034.png,GOODS SOLD ARE NOT RETURNABLE OR
crops\crop_000035.png,EXCHANGEABLE
crops\crop_000036.png,***
crops\crop_000037.png,***
crops\crop_000038.png,THANK YOU
crops\crop_000039.png,PLEASE COME AGAIN !
crops\crop_000040.png,9.00
crops\crop_000041.png,TAN WOON YANN
crops\crop_000042.png,INDAH GIFT & HOME DECO
crops\crop_000043.png,TEL:07-3507405
crops\crop_000044.png,FAX:07-3558160
crops\crop_000045.png,RECEIPT
crops\crop_000046.png,19/10/2018 20:49:59 #01
crops\crop_000047.png,CASHIER: CN
crops\crop_000048.png,LOCATION/SP: 05 /0531
crops\crop_000049.png,MB: MO26588
crops\crop_000050.png,ROOM NO: 01
crops\crop_000051.png,050100035279
crops\crop_000052.png,DESC/ITEM
crops\crop_000053.png,QTY
crops\crop_000054.png,PRICE
crops\crop_000055.png,AMT(RM)
crops\crop_000056.png,ST-PRIVILEGE CARD/GD INDAH
crops\crop_000057.png,88888
crops\crop_000058.png,1
crops\crop_000059.png,10.00
crops\crop_000060.png,10.00
crops\crop_000061.png,GF-TABLE LAMP/STITCH <I>
crops\crop_000062.png,62483
crops\crop_000063.png,1
crops\crop_000064.png,55.90
crops\crop_000065.png,55.90
crops\crop_000066.png,@DISC
crops\crop_000067.png,10.00%
crops\crop_000068.png,-5.59
crops\crop_000069.png,#TOTAL QTY
crops\crop_000070.png,2
crops\crop_000071.png,TOTAL AMT................. RM
crops\crop_000072.png,60.31
crops\crop_000073.png,ROUNDING ADJ............
crops\crop_000074.png,-0.01
crops\crop_000075.png,RM
crops\crop_000076.png,60.30
crops\crop_000077.png,CASH.................... RM
crops\crop_000078.png,70.30
crops\crop_000079.png,CHANGE.................. RM
crops\crop_000080.png,10.00
crops\crop_000081.png,THANK YOU ! PLEASE COME AGAIN !
crops\crop_000082.png,GOODS SOLD ARE NOT RETURNABLE
crops\crop_000083.png,THANK YOU ! FLEASE COME AOSIN !
crops\crop_000084.png,GOODS SOLD ARE NOT RETURNABLE
crops\crop_000085.png,DEALING IN WHOLESALE AND RETAIL.
crops\crop_000086.png,TAN WOON YANN
crops\crop_000087.png,MR D.T.Y. (JOHOR) SDN BHD
crops\crop_000088.png,(CO.REG : 933109-X)
crops\crop_000089.png,(MR DIY TESCO TERBAU)
crops\crop_000090.png,-INVOICE-
crops\crop_000091.png,CHOPPING BOARD 35.5X25.5CM 803M#
crops\crop_000092.png,EZ10HD05 - 24
crops\crop_000093.png,8970669
crops\crop_000094.png,1
crops\crop_000095.png,X
crops\crop_000096.png,19.00
crops\crop_000097.png,19.00
crops\crop_000098.png,AIR PRESSURE SPRAYER SX-575-1 1.5L
crops\crop_000099.png,HC03-7 - 15
crops\crop_000100.png,9066468
crops\crop_000101.png,1
crops\crop_000102.png,X
crops\crop_000103.png,8.02
crops\crop_000104.png,8.02
crops\crop_000105.png,WAXCO WINDSHILED CLEANER 120ML
crops\crop_000106.png,WA14-3A - 48
crops\crop_000107.png,9557031100236
crops\crop_000108.png,1
crops\crop_000109.png,X
crops\crop_000110.png,3.02
crops\crop_000111.png,3.02
crops\crop_000112.png,BOPP TAPE 48MM*100M CLEAR
crops\crop_000113.png,FZ-04 - 36
crops\crop_000114.png,6935818350846
crops\crop_000115.png,1
crops\crop_000116.png,X
crops\crop_000117.png,3.88
crops\crop_000118.png,3.88
crops\crop_000119.png,ITEM(S) : 4
crops\crop_000120.png,QTY(S) : 4
crops\crop_000121.png,TOTAL
crops\crop_000122.png,RM 33.92
crops\crop_000123.png,ROUNDING ADJUSTMENT
crops\crop_000124.png,-RM 0.02
crops\crop_000125.png,TOTAL ROUNDED
crops\crop_000126.png,RM 33.90
crops\crop_000127.png,CASH
crops\crop_000128.png,RM 50.00
crops\crop_000129.png,CHANGE
crops\crop_000130.png,RM 16.10
crops\crop_000131.png,12-01-19 21:13 SH01 ZK09
crops\crop_000132.png,T4 R000027830
crops\crop_000133.png,OPERATOR TRAINEE CASHIER
crops\crop_000134.png,EXCHANGE ARE ALLOWED WITHIN
crops\crop_000135.png,7 DAYS WITH RECEIPT.
crops\crop_000136.png,STRICTLY NO CASH REFUND.
crops\crop_000137.png,TAN WOON YANN
crops\crop_000138.png,YONGFATT ENTERPRISE
crops\crop_000139.png,(JM0517726)
crops\crop_000140.png,NO 122.124 JALAN DEDAP 13
crops\crop_000141.png,81100 JOHOR BAHRU
crops\crop_000142.png,TEL 07-3523888
crops\crop_000143.png,GST ID: 000849813504
crops\crop_000144.png,SIMPLIFIED TAX INVOICE
crops\crop_000145.png,CASH
crops\crop_000146.png,DOC NO
crops\crop_000147.png,CS00031663
crops\crop_000148.png,DATE
crops\crop_000149.png,25/12/2018
crops\crop_000150.png,CASHIER
crops\crop_000151.png,USER
crops\crop_000152.png,TIME
crops\crop_000153.png,12 31 00
crops\crop_000154.png,SALESPERSON
crops\crop_000155.png,REF.
crops\crop_000156.png,ITEM
crops\crop_000157.png,QTY
crops\crop_000158.png,S/PRICE
crops\crop_000159.png,AMOUNT
crops\crop_000160.png,TAX
crops\crop_000161.png,E8318
crops\crop_000162.png,1
crops\crop_000163.png,80.91
crops\crop_000164.png,80.91
crops\crop_000165.png,SR
crops\crop_000166.png,ELEGANT SCHTR BAG 15
crops\crop_000167.png,TOTAL QTY
crops\crop_000168.png,1
crops\crop_000169.png,80.91
crops\crop_000170.png,TOTAL SALES (EXCLUDING GST) :
crops\crop_000171.png,80.91
crops\crop_000172.png,DISCOUNT :
crops\crop_000173.png,0.00
crops\crop_000174.png,TOTAL GST :
crops\crop_000175.png,0.00
crops\crop_000176.png,ROUNDING
crops\crop_000177.png,-0.01
crops\crop_000178.png,TOTAL SALES (INCLUSIVE OF GST) :
crops\crop_000179.png,80.90
crops\crop_000180.png,CASH :
crops\crop_000181.png,100.00
crops\crop_000182.png,CHANGE :
crops\crop_000183.png,19.10
crops\crop_000184.png,GST SUMMARY
crops\crop_000185.png,TAX CODE
crops\crop_000186.png,%
crops\crop_000187.png,AMT (RM)
crops\crop_000188.png,TAX (RM)
crops\crop_000189.png,SR
crops\crop_000190.png,0
crops\crop_000191.png,80.91
crops\crop_000192.png,0.00
crops\crop_000193.png,TOTAL :
crops\crop_000194.png,80.91
crops\crop_000195.png,0.00
crops\crop_000196.png,GOODS SOLD ARE NOT REFUNDABLE ONLY
crops\crop_000197.png,TAN WOON YANN
crops\crop_000198.png,MR D.I.Y. (M) SDN BHD
crops\crop_000199.png,(CO. RFG : 860671-D)
crops\crop_000200.png,(TESCO PUTRA NILAI)
crops\crop_000201.png,-INVOICE-
crops\crop_000202.png,KILAT AUTO ECO WASH & SHINE ES1000 1L
crops\crop_000203.png,WA45 /2A - 12
crops\crop_000204.png,9555916500133
crops\crop_000205.png,1
crops\crop_000206.png,X
crops\crop_000207.png,3.11
crops\crop_000208.png,3.11
crops\crop_000209.png,KILAT' ECO AUTO WASH &WAX EW-1000-1L
crops\crop_000210.png,WA44-A - 12
crops\crop_000211.png,9555916500126
crops\crop_000212.png,1
crops\crop_000213.png,X
crops\crop_000214.png,4.62
crops\crop_000215.png,4.62
